Age Last,S0408 Male,S0408 Female,S0408-IL Male,S0408-IL Female,S0408DTPD Male,S0408DTPD Female,S0408DTPD-IL Male,S0408DTPD-IL Female
48,1.291,0.87,1.745,1.006,1.502,0.978,2.046,1.168
49,1.466,0.961,1.943,1.084,1.706,1.079,2.295,1.263
50,1.653,1.066,2.152,1.17,1.921,1.194,2.546,1.363
51,1.844,1.183,2.363,1.264,2.141,1.323,2.793,1.469
52,2.036,1.31,2.569,1.367,2.359,1.461,3.022,1.579
53,2.223,1.442,2.761,1.476,2.572,1.605,3.224,1.69
54,2.409,1.577,2.932,1.587,2.781,1.749,3.394,1.797
55,2.6,1.711,3.083,1.695,2.989,1.891,3.531,1.898
56,2.805,1.842,3.219,1.798,3.206,2.027,3.644,1.987
57,3.036,1.967,3.353,1.893,3.44,2.155,3.747,2.064
58,3.305,2.089,3.501,1.982,3.704,2.276,3.858,2.131
59,3.627,2.211,3.682,2.07,4.011,2.393,3.998,2.195
60,4.015,2.339,3.917,2.165,4.374,2.512,4.189,2.264
61,4.483,2.484,4.223,2.276,4.809,2.644,4.451,2.349
62,5.043,2.659,4.62,2.412,5.327,2.803,4.803,2.461
63,5.705,2.882,5.123,2.585,5.944,3.007,5.262,2.611
64,6.478,3.17,5.744,2.805,6.67,3.276,5.841,2.81
65,7.371,3.544,6.494,3.08,7.519,3.632,6.551,3.08
66,8.39,4.027,7.383,3.42,8.503,4.1,7.404,3.42
67,9.543,4.641,8.419,3.833,9.636,4.702,8.419,3.833
68,10.837,5.406,9.61,4.324,10.93,5.463,9.61,4.324
69,12.278,6.344,10.963,4.897,12.401,6.406,10.963,4.897
70,13.873,7.472,12.488,5.556,14.061,7.551,12.488,5.556
71,15.626,8.81,14.191,6.302,15.924,8.919,14.191,6.302
72,17.543,10.373,16.079,7.136,18.004,10.53,16.079,7.136
73,19.628,12.177,18.156,8.06,20.312,12.4,18.156,8.06
74,21.885,14.236,20.426,9.072,22.862,14.547,20.426,9.072
75,24.319,16.56,22.891,10.173,25.665,16.984,22.891,10.173
76,26.933,19.161,25.552,11.363,28.731,19.722,25.552,11.363
77,29.818,22.046,28.408,12.642,31.948,22.772,28.408,12.642
78,33.012,25.222,31.461,,35.485,26.142,31.461,
79,36.548,28.696,,,39.291,29.84,,
80,40.463,32.471,,,43.37,33.87,,
81,44.798,36.552,,,47.725,38.237,,
82,49.596,40.943,,,52.359,42.945,,
83,54.909,45.644,,,57.782,47.997,,
84,60.791,51.027,,,63.768,53.396,,
85,67.302,57.049,,,70.374,59.454,,
86,74.511,63.78,,,77.665,66.274,,
87,82.493,71.306,,,85.71,73.876,,
88,91.329,79.72,,,94.589,82.35,,
89,101.112,89.127,,,104.388,91.796,,
90,111.943,99.644,,,115.202,102.325,,
91,123.934,111.402,,,127.136,114.063,,
92,137.21,124.548,,,140.306,127.146,,
93,151.907,139.244,,,154.841,141.731,,
94,168.179,155.675,,,170.881,157.988,,
95,186.194,174.044,,,188.583,176.11,,
96,206.138,194.581,,,208.119,196.311,,
97,228.219,217.542,,,229.679,218.829,,
98,252.665,243.211,,,253.472,243.93,,
99,279.73,271.91,,,279.73,271.91,,
